[memory ][Fri Jul 23 03:18:59 2021][18813] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[memory ][Fri Jul 23 03:18:59 2021][18813] Heap size: 8388608KB, maximal heap size: 8388608KB, nursery size: 4194304KB.
[memory ][Fri Jul 23 03:18:59 2021][18813] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[memory ][Fri Jul 23 03:18:59 2021][18813] <start>  - start time of collection (seconds since jvm start).
[memory ][Fri Jul 23 03:18:59 2021][18813] <type>   - OC (old collection) or YC (young collection).
[memory ][Fri Jul 23 03:18:59 2021][18813] <end>    - end time of collection (seconds since jvm start).
[memory ][Fri Jul 23 03:18:59 2021][18813] <before> - memory used by objects before collection (KB).
[memory ][Fri Jul 23 03:18:59 2021][18813] <after>  - memory used by objects after collection (KB).
[memory ][Fri Jul 23 03:18:59 2021][18813] <heap>   - size of heap after collection (KB).
[memory ][Fri Jul 23 03:18:59 2021][18813] <time>   - total time of collection (milliseconds).
[memory ][Fri Jul 23 03:18:59 2021][18813] <pause>  - total sum of pauses during collection (milliseconds).
[memory ][Fri Jul 23 03:18:59 2021][18813]            Run with -Xverbose:gcpause to see individual phases.
[memory ][Fri Jul 23 03:18:59 2021][18813] Running on hypervisor Unknown (but probably running on a hypervisor)
[memory ][Fri Jul 23 03:34:12 2021][18813] [YC#42] 912.569-912.593: YC 4840519KB->2038609KB (8388608KB), 0.025 s, sum of pauses 24.388 ms, longest pause 24.388 ms.
[memory ][Fri Jul 23 03:34:27 2021][18813] [YC#43] 927.401-927.451: YC 4855400KB->2051892KB (8388608KB), 0.050 s, sum of pauses 49.724 ms, longest pause 49.724 ms.
[memory ][Fri Jul 23 03:36:27 2021][18813] [YC#44] 1047.379-1047.443: YC 5425378KB->2664139KB (8388608KB), 0.064 s, sum of pauses 63.300 ms, longest pause 63.300 ms.
[memory ][Fri Jul 23 03:39:46 2021][18813] [YC#45] 1246.955-1247.044: YC 5492486KB->2811186KB (8388608KB), 0.089 s, sum of pauses 88.805 ms, longest pause 88.805 ms.
[memory ][Fri Jul 23 03:41:34 2021][18813] [YC#46] 1354.105-1354.153: YC 5921373KB->3169234KB (8388608KB), 0.048 s, sum of pauses 46.939 ms, longest pause 46.939 ms.
[memory ][Fri Jul 23 03:43:06 2021][18813] [YC#47] 1446.628-1446.670: YC 6389201KB->3629930KB (8388608KB), 0.042 s, sum of pauses 41.326 ms, longest pause 41.326 ms.
[memory ][Fri Jul 23 03:44:24 2021][18813] [YC#48] 1524.763-1524.804: YC 6455730KB->3692668KB (8388608KB), 0.041 s, sum of pauses 40.327 ms, longest pause 40.327 ms.
[memory ][Fri Jul 23 03:45:10 2021][18813] [YC#49] 1570.359-1570.436: YC 6511434KB->3753595KB (8388608KB), 0.077 s, sum of pauses 76.085 ms, longest pause 76.085 ms.
[memory ][Fri Jul 23 03:45:32 2021][18813] [YC#50] 1592.298-1592.335: YC 6575225KB->3792971KB (8388608KB), 0.037 s, sum of pauses 36.718 ms, longest pause 36.718 ms.
[memory ][Fri Jul 23 03:46:28 2021][18813] [YC#51] 1648.770-1648.812: YC 6716330KB->3936156KB (8388608KB), 0.042 s, sum of pauses 41.917 ms, longest pause 41.917 ms.
[memory ][Fri Jul 23 03:47:37 2021][18813] [YC#52] 1717.167-1717.203: YC 6763315KB->3986641KB (8388608KB), 0.037 s, sum of pauses 36.150 ms, longest pause 36.150 ms.
[memory ][Fri Jul 23 03:48:35 2021][18813] [YC#53] 1775.956-1775.986: YC 6804685KB->4027378KB (8388608KB), 0.030 s, sum of pauses 29.569 ms, longest pause 29.569 ms.
[memory ][Fri Jul 23 03:49:26 2021][18813] [YC#54] 1826.080-1826.131: YC 6843366KB->4065680KB (8388608KB), 0.051 s, sum of pauses 50.756 ms, longest pause 50.756 ms.
[memory ][Fri Jul 23 03:50:19 2021][18813] [YC#55] 1879.900-1879.938: YC 6925173KB->4149972KB (8388608KB), 0.038 s, sum of pauses 37.160 ms, longest pause 37.160 ms.
[memory ][Fri Jul 23 03:50:42 2021][18813] [YC#56] 1903.077-1903.106: YC 7045851KB->4269985KB (8388608KB), 0.029 s, sum of pauses 28.870 ms, longest pause 28.870 ms.
[memory ][Fri Jul 23 03:51:05 2021][18813] [YC#57] 1925.981-1926.010: YC 7166173KB->4383519KB (8388608KB), 0.029 s, sum of pauses 28.799 ms, longest pause 28.799 ms.
[memory ][Fri Jul 23 03:52:00 2021][18813] [YC#58] 1980.407-1980.440: YC 7413375KB->4639807KB (8388608KB), 0.034 s, sum of pauses 33.315 ms, longest pause 33.315 ms.
[memory ][Fri Jul 23 03:52:51 2021][18813] [YC#59] 2031.227-2031.265: YC 7664351KB->4887180KB (8388608KB), 0.038 s, sum of pauses 37.742 ms, longest pause 37.742 ms.
[memory ][Fri Jul 23 03:54:00 2021][18813] [YC#60] 2100.966-2100.996: YC 7717448KB->4941019KB (8388608KB), 0.030 s, sum of pauses 29.785 ms, longest pause 29.785 ms.
[memory ][Fri Jul 23 03:55:10 2021][18813] [OC#3] 2170.034-2170.267: OC 8243042KB->970734KB (8388608KB), 0.233 s, sum of pauses 210.190 ms, longest pause 210.190 ms.
[memory ][Fri Jul 23 03:57:35 2021][18813] [YC#61] 2315.533-2315.562: YC 5064345KB->2278142KB (8388608KB), 0.029 s, sum of pauses 28.579 ms, longest pause 28.579 ms.
[memory ][Fri Jul 23 04:00:01 2021][18813] [OC#4] 2460.339-2461.143: OC 3806075KB->952610KB (8388608KB), 0.805 s, sum of pauses 782.073 ms, longest pause 782.073 ms.
[memory ][Fri Jul 23 04:00:03 2021][18813] [OC#5] 2461.145-2463.530: OC 959173KB->941723KB (8388608KB), 2.385 s, sum of pauses 2360.067 ms, longest pause 2360.067 ms.
[memory ][Fri Jul 23 04:02:21 2021][18813] [YC#62] 2601.928-2601.979: YC 4697275KB->1958505KB (8388608KB), 0.050 s, sum of pauses 49.771 ms, longest pause 49.771 ms.
[memory ][Fri Jul 23 04:02:26 2021][18813] [YC#63] 2606.886-2606.908: YC 4751641KB->1964239KB (8388608KB), 0.022 s, sum of pauses 21.933 ms, longest pause 21.933 ms.
[memory ][Fri Jul 23 04:02:31 2021][18813] [YC#64] 2611.785-2611.806: YC 4761205KB->1975129KB (8388608KB), 0.021 s, sum of pauses 20.415 ms, longest pause 20.415 ms.
[memory ][Fri Jul 23 04:02:36 2021][18813] [YC#65] 2616.686-2616.708: YC 4768222KB->1981492KB (8388608KB), 0.021 s, sum of pauses 20.847 ms, longest pause 20.847 ms.
[memory ][Fri Jul 23 04:02:41 2021][18813] [YC#66] 2621.580-2621.600: YC 4779310KB->1991814KB (8388608KB), 0.021 s, sum of pauses 20.509 ms, longest pause 20.509 ms.
[memory ][Fri Jul 23 04:02:46 2021][18813] [YC#67] 2626.448-2626.470: YC 4784690KB->1997842KB (8388608KB), 0.022 s, sum of pauses 21.081 ms, longest pause 21.081 ms.
[memory ][Fri Jul 23 04:04:57 2021][18813] [YC#68] 2758.072-2758.107: YC 4842441KB->2070216KB (8388608KB), 0.035 s, sum of pauses 34.486 ms, longest pause 34.486 ms.
[memory ][Fri Jul 23 04:07:00 2021][18813] [YC#69] 2880.310-2880.346: YC 5289867KB->2526975KB (8388608KB), 0.035 s, sum of pauses 35.233 ms, longest pause 35.233 ms.
[memory ][Fri Jul 23 04:09:49 2021][18813] [YC#70] 3049.797-3049.829: YC 5522304KB->2758409KB (8388608KB), 0.032 s, sum of pauses 31.154 ms, longest pause 31.154 ms.
[memory ][Fri Jul 23 04:10:16 2021][18813] [YC#71] 3076.630-3076.673: YC 5552442KB->2790241KB (8388608KB), 0.044 s, sum of pauses 43.249 ms, longest pause 43.249 ms.
[memory ][Fri Jul 23 04:12:00 2021][18813] [YC#72] 3180.491-3180.562: YC 5738428KB->2961869KB (8388608KB), 0.071 s, sum of pauses 70.381 ms, longest pause 70.381 ms.
[memory ][Fri Jul 23 04:15:11 2021][18813] [YC#73] 3371.294-3371.348: YC 5779267KB->3043780KB (8388608KB), 0.054 s, sum of pauses 53.537 ms, longest pause 53.537 ms.
[memory ][Fri Jul 23 04:16:00 2021][18813] [YC#74] 3420.662-3420.694: YC 5853890KB->3079410KB (8388608KB), 0.032 s, sum of pauses 32.017 ms, longest pause 32.017 ms.
[memory ][Fri Jul 23 04:17:33 2021][18813] [YC#75] 3513.573-3513.610: YC 5877892KB->3116298KB (8388608KB), 0.037 s, sum of pauses 36.805 ms, longest pause 36.805 ms.
[memory ][Fri Jul 23 04:19:59 2021][18813] [YC#76] 3660.034-3660.068: YC 6045643KB->3286037KB (8388608KB), 0.034 s, sum of pauses 34.038 ms, longest pause 34.038 ms.
[memory ][Fri Jul 23 04:20:23 2021][18813] [YC#77] 3684.060-3684.097: YC 6162544KB->3395669KB (8388608KB), 0.036 s, sum of pauses 35.872 ms, longest pause 35.872 ms.
[memory ][Fri Jul 23 04:25:00 2021][18813] [YC#78] 3960.833-3960.864: YC 6270395KB->3497519KB (8388608KB), 0.031 s, sum of pauses 30.835 ms, longest pause 30.835 ms.
[memory ][Fri Jul 23 04:28:50 2021][18813] [OC#6] 4190.493-4190.767: OC 7291507KB->999004KB (8388608KB), 0.274 s, sum of pauses 249.734 ms, longest pause 249.734 ms.
[memory ][Fri Jul 23 04:30:00 2021][18813] [OC#7] 4260.261-4260.942: OC 1272433KB->963332KB (8388608KB), 0.681 s, sum of pauses 634.396 ms, longest pause 634.396 ms.
[memory ][Fri Jul 23 04:30:04 2021][18813] [OC#8] 4260.944-4264.969: OC 966400KB->940869KB (8388608KB), 4.026 s, sum of pauses 4004.447 ms, longest pause 4004.447 ms.
[memory ][Fri Jul 23 04:32:20 2021][18813] [YC#79] 4400.656-4400.688: YC 4681777KB->1906379KB (8388608KB), 0.032 s, sum of pauses 31.764 ms, longest pause 31.764 ms.
[memory ][Fri Jul 23 04:32:25 2021][18813] [YC#80] 4405.658-4405.681: YC 4696205KB->1912289KB (8388608KB), 0.023 s, sum of pauses 22.593 ms, longest pause 22.593 ms.
[memory ][Fri Jul 23 04:32:30 2021][18813] [YC#81] 4410.528-4410.554: YC 4712618KB->1928657KB (8388608KB), 0.026 s, sum of pauses 25.550 ms, longest pause 25.550 ms.
[memory ][Fri Jul 23 04:32:35 2021][18813] [YC#82] 4415.523-4415.547: YC 4719106KB->1938413KB (8388608KB), 0.023 s, sum of pauses 23.084 ms, longest pause 23.084 ms.
[memory ][Fri Jul 23 04:32:40 2021][18813] [YC#83] 4420.458-4420.480: YC 4733211KB->1949685KB (8388608KB), 0.022 s, sum of pauses 21.734 ms, longest pause 21.734 ms.
[memory ][Fri Jul 23 04:32:45 2021][18813] [YC#84] 4425.442-4425.466: YC 4740247KB->1956295KB (8388608KB), 0.024 s, sum of pauses 23.485 ms, longest pause 23.485 ms.
[memory ][Fri Jul 23 04:33:29 2021][18813] [YC#85] 4469.367-4469.392: YC 4812949KB->2029699KB (8388608KB), 0.025 s, sum of pauses 24.875 ms, longest pause 24.875 ms.
[memory ][Fri Jul 23 04:40:00 2021][18813] [YC#86] 4860.389-4860.551: YC 4866756KB->2107029KB (8388608KB), 0.163 s, sum of pauses 162.577 ms, longest pause 162.577 ms.
[memory ][Fri Jul 23 04:44:00 2021][18813] [YC#87] 5100.310-5100.350: YC 4921229KB->2155457KB (8388608KB), 0.040 s, sum of pauses 39.401 ms, longest pause 39.401 ms.
[memory ][Fri Jul 23 04:47:34 2021][18813] [YC#88] 5314.491-5314.530: YC 4954845KB->2205977KB (8388608KB), 0.040 s, sum of pauses 38.896 ms, longest pause 38.896 ms.
[memory ][Fri Jul 23 04:53:00 2021][18813] [YC#89] 5640.750-5640.784: YC 5958379KB->3189069KB (8388608KB), 0.034 s, sum of pauses 33.600 ms, longest pause 33.600 ms.
[memory ][Fri Jul 23 05:00:00 2021][18813] [OC#9] 6060.199-6061.020: OC 6005092KB->978824KB (8388608KB), 0.821 s, sum of pauses 794.816 ms, longest pause 794.816 ms.
[memory ][Fri Jul 23 05:00:04 2021][18813] [OC#10] 6061.021-6064.423: OC 994932KB->955308KB (8388608KB), 3.402 s, sum of pauses 3379.046 ms, longest pause 3379.046 ms.
[memory ][Fri Jul 23 05:03:10 2021][18813] [YC#90] 6250.508-6250.551: YC 4700931KB->1971690KB (8388608KB), 0.044 s, sum of pauses 43.231 ms, longest pause 43.231 ms.
[memory ][Fri Jul 23 05:06:00 2021][18813] [YC#91] 6420.518-6420.553: YC 4792693KB->2042535KB (8388608KB), 0.034 s, sum of pauses 33.918 ms, longest pause 33.918 ms.
[memory ][Fri Jul 23 05:09:15 2021][18813] [YC#92] 6615.752-6615.782: YC 4845831KB->2088330KB (8388608KB), 0.030 s, sum of pauses 30.001 ms, longest pause 30.001 ms.
[memory ][Fri Jul 23 05:11:02 2021][18813] [YC#93] 6722.896-6722.933: YC 4890249KB->2129149KB (8388608KB), 0.037 s, sum of pauses 36.356 ms, longest pause 36.356 ms.
